journal_title,publisher,issn
Chemosphere,Elsevier BV,0045-6535
Chemosphere,Elsevier BV,1879-1298
Journal of The Electrochemical Society,The Electrochemical Society,0013-4651
Journal of The Electrochemical Society,The Electrochemical Society,1945-7111
Gastrointestinal Endoscopy,Elsevier BV,0016-5107
Gastrointestinal Endoscopy,Elsevier BV,1085-8741
Gastrointestinal Endoscopy,Elsevier BV,1097-6779
Journal of Business Ethics,Springer Science and Business Media LLC,0167-4544
Journal of Business Ethics,Springer Science and Business Media LLC,1573-0697
Journal of Trauma and Acute Care Surgery,Ovid Technologies (Wolters Kluwer Health),2163-0755
Journal of Trauma and Acute Care Surgery,Ovid Technologies (Wolters Kluwer Health),2163-0763
The Journal of Emergency Medicine,Elsevier BV,0736-4679
The Journal of Emergency Medicine,Elsevier BV,2352-5029
Current Genetics,Springer Science and Business Media LLC,0172-8083
Current Genetics,Springer Science and Business Media LLC,1432-0983
International Journal of Infectious Diseases,Elsevier BV,1201-9712
International Journal of Infectious Diseases,Elsevier BV,1878-3511
Research in Microbiology,Elsevier BV,0923-2508
Research in Microbiology,Elsevier BV,1769-7123
Journal of High Energy Physics,Springer Nature,1029-8479
Journal of High Energy Physics,Springer Nature,1126-6708
Journal of High Energy Physics,Springer Nature,1127-2236
Canadian Journal of Chemistry,Canadian Science Publishing,0008-4042
Canadian Journal of Chemistry,Canadian Science Publishing,1480-3291
Surgery,Elsevier BV,0039-6060
Surgery,Elsevier BV,1532-7361
Angewandte Chemie International Edition,Wiley,1433-7851
Angewandte Chemie International Edition,Wiley,1521-3773
Journal of Complexity,Elsevier BV,0885-064X
Journal of Complexity,Elsevier BV,1090-2708
Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),1941-7632
Circulation: Cardiovascular Interventions,Ovid Technologies (Wolters Kluwer Health),1941-7640
Clinical & Experimental Metastasis,Springer Science and Business Media LLC,0262-0898
Clinical & Experimental Metastasis,Springer Science and Business Media LLC,1573-7276
Critical Care Nursing Clinics of North America,Elsevier BV,0899-5885
Critical Care Nursing Clinics of North America,Elsevier BV,1558-3481
Optics Express,The Optical Society,1094-4087
Experimental and Clinical Endocrinology & Diabetes,Georg Thieme Verlag KG,0947-7349
Experimental and Clinical Endocrinology & Diabetes,Georg Thieme Verlag KG,1439-3646
Social Behavior and Personality: an international journal,Scientific Journal Publishers Ltd,0301-2212
Social Behavior and Personality: an international journal,Scientific Journal Publishers Ltd,1179-6391
International Immunopharmacology,Elsevier BV,1567-5769
International Immunopharmacology,Elsevier BV,1878-1705
Catalysis Communications,Elsevier BV,1566-7367
Catalysis Communications,Elsevier BV,1873-3905
The Journal of the Acoustical Society of America,Acoustical Society of America (ASA),0001-4966
The Journal of the Acoustical Society of America,Acoustical Society of America (ASA),1520-8524
The Journal of the Acoustical Society of America,Acoustical Society of America (ASA),1520-9024
Journal of Reproduction and Development,Japanese Society of Animal Reproduction,0916-8818
Journal of Reproduction and Development,Japanese Society of Animal Reproduction,1348-4400
AIP Advances,AIP Publishing,2158-3226
Journal of Central South University,Springer Science and Business Media LLC,2095-2899
Jornal de Pediatria,Elsevier BV,0021-7557
Jornal de Pediatria,Elsevier BV,1678-4782
Journal of Theoretical Probability,Springer Science and Business Media LLC,0894-9840
Journal of Theoretical Probability,Springer Science and Business Media LLC,1572-9230
Technical Physics Letters,Pleiades Publishing Ltd,1063-7850
Technical Physics Letters,Pleiades Publishing Ltd,1090-6533
Advances in Space Research,Elsevier BV,0273-1177
Advances in Space Research,Elsevier BV,1879-1948
Journal of Transport Geography,Elsevier BV,0966-6923
Journal of Transport Geography,Elsevier BV,1873-1236
Protein Expression and Purification,Elsevier BV,1046-5928
Protein Expression and Purification,Elsevier BV,1096-0279
Archives of Medical Science,Termedia Sp. z.o.o.,1734-1922
Archives of Medical Science,Termedia Sp. z.o.o.,1896-9151
Telemedicine and e-Health,Mary Ann Liebert Inc,1530-5627
Telemedicine and e-Health,Mary Ann Liebert Inc,1556-3669
Journal of Luminescence,Elsevier BV,0022-2313
Journal of Luminescence,Elsevier BV,1872-7883
Reproductive Sciences,SAGE Publications,1933-7191
